ins_id,nome,descricao
SPAPIA,UHE APIAI,USI UHE APIAI SP
SPCACH,UHE CACH PAUL,USI UHE CACH PAUL SP
MGCACN,UHE CACHOEIRINH,USI UHE CACHOEIRINH MG
MGDRTI,UHE DR.TITO 2,USI UHE DR.TITO 2 MG
SPFEIO,UHE FEIXOS,USI UHE FEIXOS SP
SPITAT,UHE ITATINGA,USI UHE ITATINGA SP
SPLARA,UHE LARAN DOCE,USI UHE LARAN DOCE SP
MGLIMO,UHE LIMOEIRO,USI UHE LIMOEIRO MG
SPMACA,UHE MAC BRANCO,USI UHE MAC BRANCO SP
SPPARA,UHE PARANAPANEM,USI UHE PARANAPANEM SP
SPPARP,UHE PARI,USI UHE PARI SP
MGPINH,UHE PINHEIRINHO,USI UHE PINHEIRINHO MG
SPPIRO,UHE PIRAPORA,USI UHE PIRAPORA SP
SPQUAT,UHE QUATIARA,USI UHE QUATIARA SP
SPRIOD,UHE R DO PEIXE,USI UHE R DO PEIXE SP
SPSANJ,UHE SAN JUAN,USI UHE SAN JUAN SP
SPSANL,UHE SANTA ALICE,USI UHE SANTA ALICE SP
SPSAOS,UHE SAO JOSE,USI UHE SAO JOSE SP
MGSAOS,UHE S SEBASTIAO,USI UHE S SEBASTIAO MG
SPTURV,UHE TURVINHO,USI UHE TURVINHO SP
SPAGUA,UTE AGUA BONITA,USI UTE AGUA BONITA SP
SPAREV,UTE AREVALE,USI UTE AREVALE SP
SPBANE,UTE BANDEIRANTE,USI UTE BANDEIRANTE SP
SPBIOL,UTE BIOLINS,USI UTE BIOLINS SP
SPBORT,UTE BORTOLO CAR,USI UTE BORTOLO CAR SP
SPBROT,UTE BROTAS,USI UTE BROTAS SP
SPBROA,UTE BROTAS II,USI UTE BROTAS II SP
SPCATN,UTE CATANDUVA I,USI UTE CATANDUVA I SP
SPCITR,UTE CITROVITA C,USI UTE CITROVITA C SP
SPCLEA,UTE CLEALCO CLE,USI UTE CLEALCO CLE SP
SPCOLM,UTE COL ARIRAN,USI UTE COL ARIRAN SP
SPCOLA,UTE COL ARIRAN2,USI UTE COL ARIRAN2 SP
SPCOLP,UTE COL PALEST,USI UTE COL PALEST SP
SPCOLN,UTE COL ST ALB,USI UTE COL ST ALB SP
SPEQUP,UTE EQUIPAV,USI UTE EQUIPAV SP
SPEQUA,UTE EQUIPAV II,USI UTE EQUIPAV II SP
SPESTR,UTE ESTER,USI UTE ESTER SP
SPFURA,UTE FURL AVARE,USI UTE FURL AVARE SP
SPGUAO,UTE GUARIROBA,USI UTE GUARIROBA SP
SPGUAT,UTE GUATAPARA,USI UTE GUATAPARA SP
SPIACA,UTE IACANGA,USI UTE IACANGA SP
SPIRAC,UTE IRACEMA,USI UTE IRACEMA SP
