eqp_id,age_id,descricao,instalacao_de,instalacao_para
BAANT50BBC-4,CVR,LT 34P5 kV BBC_V S ANT 5 / BABIL. CENTRO C 4 BA,BAANT5,BABBC
BAANT50BBC-5,CVR,LT 34P5 kV BBC_V S ANT 5 / BABIL. CENTRO C 5 BA,BAANT5,BABBC
BAANT50BBC-6,CVR,LT 34P5 kV BBC_V S ANT 5 / BABIL. CENTRO C 6 BA,BAANT5,BABBC
BAANT60BBC-14,CVR,LT 34P5 kV BBC_V S ANT 6 / BABIL. CENTRO C 14 BA,BAANT6,BABBC
BAANT60BBC-15,CVR,LT 34P5 kV BBC_V S ANT 6 / BABIL. CENTRO C 15 BA,BAANT6,BABBC
BAANT60BBC-16,CVR,LT 34P5 kV BBC_V S ANT 6 / BABIL. CENTRO C 16 BA,BAANT6,BABBC
BAANT70BBC-17,CVR,LT 34P5 kV BBC_V S ANT 7 / BABIL. CENTRO C 17 BA,BAANT7,BABBC
BAANT70BBC-18,CVR,LT 34P5 kV BBC_V S ANT 7 / BABIL. CENTRO C 18 BA,BAANT7,BABBC
BAANT70BBC-19,CVR,LT 34P5 kV BBC_V S ANT 7 / BABIL. CENTRO C 19 BA,BAANT7,BABBC
BAANT70BBC-20,CVR,LT 34P5 kV BBC_V S ANT 7 / BABIL. CENTRO C 20 BA,BAANT7,BABBC
BAANT80BBC-33,CVR,LT 34P5 kV BBC_V S ANT 8 / BABIL. CENTRO C 33 BA,BAANT8,BABBC
BAANT80BBC-34,CVR,LT 34P5 kV BBC_V S ANT 8 / BABIL. CENTRO C 34 BA,BAANT8,BABBC
